"","Treatment","Metric","BFx","BFy","BFxy","Value"
"69","Flow reduction
& Fine sediment
addition","Tagument (rel. abundance)",3,0,"BF30",0
"70","Flow reduction
& Fine sediment
addition","Tagument (rel. abundance)",2,1,"BF21",0.0415973377703827
"71","Flow reduction
& Fine sediment
addition","Tagument (rel. abundance)",3,1,"BF31",0
"72","Flow reduction
& Fine sediment
addition","Tagument (rel. abundance)",3,2,"BF32",0
"73","Flow reduction
& Fine sediment
addition","Tot. abundance",1,0,"BF10",6.65891472868217
"74","Flow reduction
& Fine sediment
addition","Tot. abundance",2,0,"BF20",0.0930232558139535
"75","Flow reduction
& Fine sediment
addition","Tot. abundance",3,0,"BF30",0
"76","Flow reduction
& Fine sediment
addition","Tot. abundance",2,1,"BF21",0.0139697322467986
"77","Flow reduction
& Fine sediment
addition","Tot. abundance",3,1,"BF31",0
"78","Flow reduction
& Fine sediment
addition","Tot. abundance",3,2,"BF32",0
"79","Flow reduction
& Fine sediment
addition
& N/P addition","EPT (abundance)",1,0,"BF10",4.92561983471074
"80","Flow reduction
& Fine sediment
addition
& N/P addition","EPT (abundance)",2,0,"BF20",1.90909090909091
"81","Flow reduction
& Fine sediment
addition
& N/P addition","EPT (abundance)",3,0,"BF30",0.429752066115702
"82","Flow reduction
& Fine sediment
addition
& N/P addition","EPT (abundance)",2,1,"BF21",0.38758389261745
"83","Flow reduction
& Fine sediment
addition
& N/P addition","EPT (abundance)",3,1,"BF31",0.087248322147651
"84","Flow reduction
& Fine sediment
addition
& N/P addition","EPT (abundance)",3,2,"BF32",0.225108225108225
"85","Flow reduction
& Fine sediment
addition
& N/P addition","% EPT",1,0,"BF10",4.31884057971014
"86","Flow reduction
& Fine sediment
addition
& N/P addition","% EPT",2,0,"BF20",1.31884057971014
"87","Flow reduction
& Fine sediment
addition
& N/P addition","% EPT",3,0,"BF30",0.608695652173913
"88","Flow reduction
& Fine sediment
addition
& N/P addition","% EPT",2,1,"BF21",0.305369127516779
"89","Flow reduction
& Fine sediment
addition
& N/P addition","% EPT",3,1,"BF31",0.140939597315436
"90","Flow reduction
& Fine sediment
addition
& N/P addition","% EPT",3,2,"BF32",0.461538461538462
"91","Flow reduction
& Fine sediment
addition
& N/P addition","EPT (number taxa)",1,0,"BF10",13.3333333333333
"92","Flow reduction
& Fine sediment
addition
& N/P addition","EPT (number taxa)",2,0,"BF20",0.787878787878788
"93","Flow reduction
& Fine sediment
addition
& N/P addition","EPT (number taxa)",3,0,"BF30",0.0303030303030303
"94","Flow reduction
& Fine sediment
addition
& N/P addition","EPT (number taxa)",2,1,"BF21",0.0590909090909091
"95","Flow reduction
& Fine sediment
addition
& N/P addition","EPT (number taxa)",3,1,"BF31",0.00227272727272727
"96","Flow reduction
& Fine sediment
addition
& N/P addition","EPT (number taxa)",3,2,"BF32",0.0384615384615385
"97","Flow reduction
& Fine sediment
addition
& N/P addition","% Lotic",1,0,"BF10",3.43010752688172
"98","Flow reduction
& Fine sediment
addition
& N/P addition","% Lotic",2,0,"BF20",0.709677419354839
"99","Flow reduction
& Fine sediment
addition
& N/P addition","% Lotic",3,0,"BF30",0.236559139784946
"100","Flow reduction
& Fine sediment
addition
& N/P addition","% Lotic",2,1,"BF21",0.206896551724138
"101","Flow reduction
& Fine sediment
addition
& N/P addition","% Lotic",3,1,"BF31",0.0689655172413793
"102","Flow reduction
& Fine sediment
addition
& N/P addition","% Lotic",3,2,"BF32",0.333333333333333
"103","Flow reduction
& Fine sediment
addition
& N/P addition","Fast/Slow flow (adapt., ratio)",1,0,"BF10",3.26237623762376
"104","Flow reduction
& Fine sediment
addition
& N/P addition","Fast/Slow flow (adapt., ratio)",2,0,"BF20",0.524752475247525
"105","Flow reduction
& Fine sediment
addition
& N/P addition","Fast/Slow flow (adapt., ratio)",3,0,"BF30",0.158415841584158
"106","Flow reduction
& Fine sediment
addition
& N/P addition","Fast/Slow flow (adapt., ratio)",2,1,"BF21",0.160849772382398
"107","Flow reduction
& Fine sediment
addition
& N/P addition","Fast/Slow flow (adapt., ratio)",3,1,"BF31",0.0485584218512898
"108","Flow reduction
& Fine sediment
addition
& N/P addition","Fast/Slow flow (adapt., ratio)",3,2,"BF32",0.30188679245283
"109","Flow reduction
& Fine sediment
addition
& N/P addition","% Gill breather",1,0,"BF10",2.06089743589744
"110","Flow reduction
& Fine sediment
addition
& N/P addition","% Gill breather",2,0,"BF20",0.131410256410256
"111","Flow reduction
& Fine sediment
addition
& N/P addition","% Gill breather",3,0,"BF30",0.016025641025641
"112","Flow reduction
& Fine sediment
addition
& N/P addition","% Gill breather",2,1,"BF21",0.0637636080870918
"113","Flow reduction
& Fine sediment
addition
& N/P addition","% Gill breather",3,1,"BF31",0.00777604976671851
"114","Flow reduction
& Fine sediment
addition
& N/P addition","% Gill breather",3,2,"BF32",0.121951219512195
"115","Flow reduction
& Fine sediment
addition
& N/P addition","Gils/Tegument (ratio)",1,0,"BF10",2.06089743589744
"116","Flow reduction
& Fine sediment
addition
& N/P addition","Gils/Tegument (ratio)",2,0,"BF20",0.131410256410256
"117","Flow reduction
& Fine sediment
addition
& N/P addition","Gils/Tegument (ratio)",3,0,"BF30",0.00961538461538462
"118","Flow reduction
& Fine sediment
addition
& N/P addition","Gils/Tegument (ratio)",2,1,"BF21",0.0637636080870918
"119","Flow reduction
& Fine sediment
addition
& N/P addition","Gils/Tegument (ratio)",3,1,"BF31",0.0046656298600311
"120","Flow reduction
& Fine sediment
addition
& N/P addition","Gils/Tegument (ratio)",3,2,"BF32",0.0731707317073171
"121","Flow reduction
& Fine sediment
addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",1,0,"BF10",3.31506849315068
"122","Flow reduction
& Fine sediment
addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",2,0,"BF20",0.242009132420091
"123","Flow reduction
& Fine sediment
addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",3,0,"BF30",0.0136986301369863
"124","Flow reduction
& Fine sediment
addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",2,1,"BF21",0.0730027548209366
"125","Flow reduction
& Fine sediment
addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",3,1,"BF31",0.00413223140495868
"126","Flow reduction
& Fine sediment
addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",3,2,"BF32",0.0566037735849057
"127","Flow reduction
& Fine sediment
addition
& N/P addition","% Scraper",1,0,"BF10",1.70833333333333
"128","Flow reduction
& Fine sediment
addition
& N/P addition","% Scraper",2,0,"BF20",0.0638888888888889
"129","Flow reduction
& Fine sediment
addition
& N/P addition","% Scraper",3,0,"BF30",0.00555555555555556
"130","Flow reduction
& Fine sediment
addition
& N/P addition","% Scraper",2,1,"BF21",0.0373983739837398
"131","Flow reduction
& Fine sediment
addition
& N/P addition","% Scraper",3,1,"BF31",0.0032520325203252
"132","Flow reduction
& Fine sediment
addition
& N/P addition","% Scraper",3,2,"BF32",0.0869565217391304
"133","Flow reduction
& Fine sediment
addition
& N/P addition","Slow flow adapt. (rel. abundance)",1,0,"BF10",1.61325966850829
"134","Flow reduction
& Fine sediment
addition
& N/P addition","Slow flow adapt. (rel. abundance)",2,0,"BF20",0.129834254143646
"135","Flow reduction
& Fine sediment
addition
& N/P addition","Slow flow adapt. (rel. abundance)",3,0,"BF30",0.0193370165745856
"136","Flow reduction
& Fine sediment
addition
& N/P addition","Slow flow adapt. (rel. abundance)",2,1,"BF21",0.0804794520547945
"137","Flow reduction
& Fine sediment
addition
& N/P addition","Slow flow adapt. (rel. abundance)",3,1,"BF31",0.011986301369863
"138","Flow reduction
& Fine sediment
addition
& N/P addition","Slow flow adapt. (rel. abundance)",3,2,"BF32",0.148936170212766
"139","Flow reduction
& Fine sediment
addition
& N/P addition","Tot. richness",1,0,"BF10",5.78767123287671
"140","Flow reduction
& Fine sediment
addition
& N/P addition","Tot. richness",2,0,"BF20",0.0616438356164384
"141","Flow reduction
& Fine sediment
addition
& N/P addition","Tot. richness",3,0,"BF30",0
"142","Flow reduction
& Fine sediment
addition
& N/P addition","Tot. richness",2,1,"BF21",0.0106508875739645
"143","Flow reduction
& Fine sediment
addition
& N/P addition","Tot. richness",3,1,"BF31",0
"144","Flow reduction
& Fine sediment
addition
& N/P addition","Tot. richness",3,2,"BF32",0
"145","Flow reduction
& Fine sediment
addition
& N/P addition","Tagument (rel. abundance)",1,0,"BF10",1.9620253164557
"146","Flow reduction
& Fine sediment
addition
& N/P addition","Tagument (rel. abundance)",2,0,"BF20",0.193037974683544
"147","Flow reduction
& Fine sediment
addition
& N/P addition","Tagument (rel. abundance)",3,0,"BF30",0.00949367088607595
"148","Flow reduction
& Fine sediment
addition
& N/P addition","Tagument (rel. abundance)",2,1,"BF21",0.0983870967741935
"149","Flow reduction
& Fine sediment
addition
& N/P addition","Tagument (rel. abundance)",3,1,"BF31",0.00483870967741936
"150","Flow reduction
& Fine sediment
addition
& N/P addition","Tagument (rel. abundance)",3,2,"BF32",0.0491803278688525
"151","Flow reduction
& Fine sediment
addition
& N/P addition","Tot. abundance",1,0,"BF10",7.88990825688073
"152","Flow reduction
& Fine sediment
addition
& N/P addition","Tot. abundance",2,0,"BF20",0.284403669724771
"153","Flow reduction
& Fine sediment
addition
& N/P addition","Tot. abundance",3,0,"BF30",0
"154","Flow reduction
& Fine sediment
addition
& N/P addition","Tot. abundance",2,1,"BF21",0.036046511627907
"155","Flow reduction
& Fine sediment
addition
& N/P addition","Tot. abundance",3,1,"BF31",0
"156","Flow reduction
& Fine sediment
addition
& N/P addition","Tot. abundance",3,2,"BF32",0
"157","Fine sediment
addition
& N/P addition","EPT (abundance)",1,0,"BF10",15.448275862069
"158","Fine sediment
addition
& N/P addition","EPT (abundance)",2,0,"BF20",15.8275862068966
"159","Fine sediment
addition
& N/P addition","EPT (abundance)",3,0,"BF30",2.17241379310345
"160","Fine sediment
addition
& N/P addition","EPT (abundance)",2,1,"BF21",1.02455357142857
"161","Fine sediment
addition
& N/P addition","EPT (abundance)",3,1,"BF31",0.140625
"162","Fine sediment
addition
& N/P addition","EPT (abundance)",3,2,"BF32",0.137254901960784
"163","Fine sediment
addition
& N/P addition","% EPT",1,0,"BF10",10.6268656716418
"164","Fine sediment
addition
& N/P addition","% EPT",2,0,"BF20",2.94029850746269
"165","Fine sediment
addition
& N/P addition","% EPT",3,0,"BF30",0.358208955223881
"166","Fine sediment
addition
& N/P addition","% EPT",2,1,"BF21",0.276685393258427
"167","Fine sediment
addition
& N/P addition","% EPT",3,1,"BF31",0.0337078651685393
"168","Fine sediment
addition
& N/P addition","% EPT",3,2,"BF32",0.121827411167513
"169","Fine sediment
addition
& N/P addition","EPT (number taxa)",1,0,"BF10",4.64406779661017
"170","Fine sediment
addition
& N/P addition","EPT (number taxa)",2,0,"BF20",0.00564971751412429
"171","Fine sediment
addition
& N/P addition","EPT (number taxa)",3,0,"BF30",0
"172","Fine sediment
addition
& N/P addition","EPT (number taxa)",2,1,"BF21",0.00121654501216545
"173","Fine sediment
addition
& N/P addition","EPT (number taxa)",3,1,"BF31",0
"174","Fine sediment
addition
& N/P addition","EPT (number taxa)",3,2,"BF32",0
"175","Fine sediment
addition
& N/P addition","% Lotic",1,0,"BF10",16.8604651162791
"176","Fine sediment
addition
& N/P addition","% Lotic",2,0,"BF20",5.2093023255814
"177","Fine sediment
addition
& N/P addition","% Lotic",3,0,"BF30",0.186046511627907
"178","Fine sediment
addition
& N/P addition","% Lotic",2,1,"BF21",0.308965517241379
"179","Fine sediment
addition
& N/P addition","% Lotic",3,1,"BF31",0.0110344827586207
"180","Fine sediment
addition
& N/P addition","% Lotic",3,2,"BF32",0.0357142857142857
"181","Fine sediment
addition
& N/P addition","Fast/Slow flow (adapt., ratio)",1,0,"BF10",13.3090909090909
"182","Fine sediment
addition
& N/P addition","Fast/Slow flow (adapt., ratio)",2,0,"BF20",3.58181818181818
"183","Fine sediment
addition
& N/P addition","Fast/Slow flow (adapt., ratio)",3,0,"BF30",0.290909090909091
"184","Fine sediment
addition
& N/P addition","Fast/Slow flow (adapt., ratio)",2,1,"BF21",0.269125683060109
"185","Fine sediment
addition
& N/P addition","Fast/Slow flow (adapt., ratio)",3,1,"BF31",0.0218579234972678
"186","Fine sediment
addition
& N/P addition","Fast/Slow flow (adapt., ratio)",3,2,"BF32",0.0812182741116751
"187","Fine sediment
addition
& N/P addition","% Gill breather",1,0,"BF10",4.44808743169399
"188","Fine sediment
addition
& N/P addition","% Gill breather",2,0,"BF20",0.0163934426229508
"189","Fine sediment
addition
& N/P addition","% Gill breather",3,0,"BF30",0
"190","Fine sediment
addition
& N/P addition","% Gill breather",2,1,"BF21",0.00368550368550369
"191","Fine sediment
addition
& N/P addition","% Gill breather",3,1,"BF31",0
"192","Fine sediment
addition
& N/P addition","% Gill breather",3,2,"BF32",0
"193","Fine sediment
addition
& N/P addition","Gils/Tegument (ratio)",1,0,"BF10",3.33913043478261
"194","Fine sediment
addition
& N/P addition","Gils/Tegument (ratio)",2,0,"BF20",0.00869565217391304
"195","Fine sediment
addition
& N/P addition","Gils/Tegument (ratio)",3,0,"BF30",0
"196","Fine sediment
addition
& N/P addition","Gils/Tegument (ratio)",2,1,"BF21",0.00260416666666667
"197","Fine sediment
addition
& N/P addition","Gils/Tegument (ratio)",3,1,"BF31",0
"198","Fine sediment
addition
& N/P addition","Gils/Tegument (ratio)",3,2,"BF32",0
"199","Fine sediment
addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",1,0,"BF10",10.710843373494
"200","Fine sediment
addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",2,0,"BF20",0.337349397590361
"201","Fine sediment
addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",3,0,"BF30",0
"202","Fine sediment
addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",2,1,"BF21",0.031496062992126
"203","Fine sediment
addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",3,1,"BF31",0
"204","Fine sediment
addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",3,2,"BF32",0
"205","Fine sediment
addition
& N/P addition","% Scraper",1,0,"BF10",6.58778625954198
"206","Fine sediment
addition
& N/P addition","% Scraper",2,0,"BF20",0.0458015267175573
"207","Fine sediment
addition
& N/P addition","% Scraper",3,0,"BF30",0
"208","Fine sediment
addition
& N/P addition","% Scraper",2,1,"BF21",0.00695249130938586
"209","Fine sediment
addition
& N/P addition","% Scraper",3,1,"BF31",0
"210","Fine sediment
addition
& N/P addition","% Scraper",3,2,"BF32",0
"211","Fine sediment
addition
& N/P addition","Slow flow adapt. (rel. abundance)",1,0,"BF10",0.806569343065693
"212","Fine sediment
addition
& N/P addition","Slow flow adapt. (rel. abundance)",2,0,"BF20",0.0182481751824818
"213","Fine sediment
addition
& N/P addition","Slow flow adapt. (rel. abundance)",3,0,"BF30",0
"214","Fine sediment
addition
& N/P addition","Slow flow adapt. (rel. abundance)",2,1,"BF21",0.0226244343891403
"215","Fine sediment
addition
& N/P addition","Slow flow adapt. (rel. abundance)",3,1,"BF31",0
"216","Fine sediment
addition
& N/P addition","Slow flow adapt. (rel. abundance)",3,2,"BF32",0
"217","Fine sediment
addition
& N/P addition","Tot. richness",1,0,"BF10",3.5
"218","Fine sediment
addition
& N/P addition","Tot. richness",2,0,"BF20",0.0045045045045045
"219","Fine sediment
addition
& N/P addition","Tot. richness",3,0,"BF30",0
"220","Fine sediment
addition
& N/P addition","Tot. richness",2,1,"BF21",0.00128700128700129
"221","Fine sediment
addition
& N/P addition","Tot. richness",3,1,"BF31",0
"222","Fine sediment
addition
& N/P addition","Tot. richness",3,2,"BF32",0
"223","Fine sediment
addition
& N/P addition","Tagument (rel. abundance)",1,0,"BF10",0.349527665317139
"224","Fine sediment
addition
& N/P addition","Tagument (rel. abundance)",2,0,"BF20",0
"225","Fine sediment
addition
& N/P addition","Tagument (rel. abundance)",3,0,"BF30",0
"226","Fine sediment
addition
& N/P addition","Tagument (rel. abundance)",2,1,"BF21",0
"227","Fine sediment
addition
& N/P addition","Tagument (rel. abundance)",3,1,"BF31",0
"228","Fine sediment
addition
& N/P addition","Tagument (rel. abundance)",3,2,"BF32",NA
"229","Fine sediment
addition
& N/P addition","Tot. abundance",1,0,"BF10",27.5882352941176
"230","Fine sediment
addition
& N/P addition","Tot. abundance",2,0,"BF20",0.823529411764706
"231","Fine sediment
addition
& N/P addition","Tot. abundance",3,0,"BF30",0
"232","Fine sediment
addition
& N/P addition","Tot. abundance",2,1,"BF21",0.0298507462686567
"233","Fine sediment
addition
& N/P addition","Tot. abundance",3,1,"BF31",0
"234","Fine sediment
addition
& N/P addition","Tot. abundance",3,2,"BF32",0
"235","Fine sediment
addition","EPT (abundance)",1,0,"BF10",20.44
"236","Fine sediment
addition","EPT (abundance)",2,0,"BF20",16.04
"237","Fine sediment
addition","EPT (abundance)",3,0,"BF30",2.52
"238","Fine sediment
addition","EPT (abundance)",2,1,"BF21",0.784735812133072
"239","Fine sediment
addition","EPT (abundance)",3,1,"BF31",0.123287671232877
"240","Fine sediment
addition","EPT (abundance)",3,2,"BF32",0.157107231920199
"241","Fine sediment
addition","% EPT",1,0,"BF10",12.3125
"242","Fine sediment
addition","% EPT",2,0,"BF20",6.0625
"243","Fine sediment
addition","% EPT",3,0,"BF30",1.47916666666667
"244","Fine sediment
addition","% EPT",2,1,"BF21",0.49238578680203
"245","Fine sediment
addition","% EPT",3,1,"BF31",0.120135363790186
"246","Fine sediment
addition","% EPT",3,2,"BF32",0.243986254295533
"247","Fine sediment
addition","EPT (number taxa)",1,0,"BF10",8.41509433962264
"248","Fine sediment
addition","EPT (number taxa)",2,0,"BF20",0.0188679245283019
"249","Fine sediment
addition","EPT (number taxa)",3,0,"BF30",0
"250","Fine sediment
addition","EPT (number taxa)",2,1,"BF21",0.00224215246636771
"251","Fine sediment
addition","EPT (number taxa)",3,1,"BF31",0
"252","Fine sediment
addition","EPT (number taxa)",3,2,"BF32",0
"253","Fine sediment
addition","% Lotic",1,0,"BF10",47.6
"254","Fine sediment
addition","% Lotic",2,0,"BF20",44.6
"255","Fine sediment
addition","% Lotic",3,0,"BF30",6.8
"256","Fine sediment
addition","% Lotic",2,1,"BF21",0.936974789915966
"257","Fine sediment
addition","% Lotic",3,1,"BF31",0.142857142857143
"258","Fine sediment
addition","% Lotic",3,2,"BF32",0.152466367713004
"259","Fine sediment
addition","Fast/Slow flow (adapt., ratio)",1,0,"BF10",58.5714285714286
"260","Fine sediment
addition","Fast/Slow flow (adapt., ratio)",2,0,"BF20",76.5714285714286
"261","Fine sediment
addition","Fast/Slow flow (adapt., ratio)",3,0,"BF30",6.71428571428571
"262","Fine sediment
addition","Fast/Slow flow (adapt., ratio)",2,1,"BF21",1.30731707317073
"263","Fine sediment
addition","Fast/Slow flow (adapt., ratio)",3,1,"BF31",0.114634146341463
"264","Fine sediment
addition","Fast/Slow flow (adapt., ratio)",3,2,"BF32",0.0876865671641791
"265","Fine sediment
addition","% Gill breather",1,0,"BF10",13.0597014925373
"266","Fine sediment
addition","% Gill breather",2,0,"BF20",0.865671641791045
"267","Fine sediment
addition","% Gill breather",3,0,"BF30",0
"268","Fine sediment
addition","% Gill breather",2,1,"BF21",0.0662857142857143
"269","Fine sediment
addition","% Gill breather",3,1,"BF31",0
"270","Fine sediment
addition","% Gill breather",3,2,"BF32",0
"271","Fine sediment
addition","Gils/Tegument (ratio)",1,0,"BF10",10.1149425287356
"272","Fine sediment
addition","Gils/Tegument (ratio)",2,0,"BF20",0.379310344827586
"273","Fine sediment
addition","Gils/Tegument (ratio)",3,0,"BF30",0
"274","Fine sediment
addition","Gils/Tegument (ratio)",2,1,"BF21",0.0375
"275","Fine sediment
addition","Gils/Tegument (ratio)",3,1,"BF31",0
"276","Fine sediment
addition","Gils/Tegument (ratio)",3,2,"BF32",0
"277","Fine sediment
addition","Non EPT fast flow (adapt., rel. abd.)",1,0,"BF10",89.7777777777778
"278","Fine sediment
addition","Non EPT fast flow (adapt., rel. abd.)",2,0,"BF20",20.2222222222222
"279","Fine sediment
addition","Non EPT fast flow (adapt., rel. abd.)",3,0,"BF30",0.222222222222222
"280","Fine sediment
addition","Non EPT fast flow (adapt., rel. abd.)",2,1,"BF21",0.225247524752475
"281","Fine sediment
addition","Non EPT fast flow (adapt., rel. abd.)",3,1,"BF31",0.00247524752475248
"282","Fine sediment
addition","Non EPT fast flow (adapt., rel. abd.)",3,2,"BF32",0.010989010989011
"283","Fine sediment
addition","% Scraper",1,0,"BF10",24.6578947368421
"284","Fine sediment
addition","% Scraper",2,0,"BF20",0.631578947368421
"285","Fine sediment
addition","% Scraper",3,0,"BF30",0
"286","Fine sediment
addition","% Scraper",2,1,"BF21",0.0256136606189968
"287","Fine sediment
addition","% Scraper",3,1,"BF31",0
"288","Fine sediment
addition","% Scraper",3,2,"BF32",0
"289","Fine sediment
addition","Slow flow adapt. (rel. abundance)",1,0,"BF10",0.561128526645768
"290","Fine sediment
addition","Slow flow adapt. (rel. abundance)",2,0,"BF20",0.00626959247648903
