"","Treatment","Metric","g","SE","Nx","Ny","StudyID"
"49","Fine sediment addition
& N/P addition","% Lotic",-1.55275525316366,0.556399103896525,8,8,"davis"
"50","Fine sediment addition
& N/P addition","Slow flow adapt. (rel. abundance)",1.55275525316365,0.556399103896524,8,8,"davis"
"51","Fine sediment addition
& N/P addition","Fast/Slow flow (adapt., ratio)",-1.5301976580158,0.554162655184818,8,8,"davis"
"52","Fine sediment addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",-1.16284439999043,0.521310066125777,8,8,"davis"
"53","N/P addition","Tot. abundance",-0.0639738739283119,0.472881846432444,8,8,"davis"
"54","N/P addition","Tot. richness",0.898542912443547,0.502300758231103,8,8,"davis"
"55","N/P addition","% EPT",-0.31909888243755,0.476558127897229,8,8,"davis"
"56","N/P addition","EPT (abundance)",-0.654001481842603,0.488617145659087,8,8,"davis"
"57","N/P addition","EPT (number taxa)",0.995487199514843,0.508786541230439,8,8,"davis"
"58","N/P addition","% Gill breather",0.408201637130999,0.478980265743241,8,8,"davis"
"59","N/P addition","Tagument (rel. abundance)",-0.362872991178636,0.477675431138414,8,8,"davis"
"60","N/P addition","Gils/Tegument (ratio)",0.377762726842991,0.478087512925812,8,8,"davis"
"61","N/P addition","% Scraper",-0.713631596250707,0.491588537942191,8,8,"davis"
"62","N/P addition","% Lotic",-1.0655088566382,0.513826652474877,8,8,"davis"
"63","N/P addition","Slow flow adapt. (rel. abundance)",1.06550885663819,0.513826652474877,8,8,"davis"
"64","N/P addition","Fast/Slow flow (adapt., ratio)",-1.05129276589818,0.512779769013758,8,8,"davis"
"65","N/P addition","Non EPT fast flow (adapt., rel. abd.)",-1.43063269274084,0.544580440869835,8,8,"davis"
"66","Fine sediment addition","Tot. abundance",-0.901822139124612,0.502510598795826,8,8,"davis"
"67","Fine sediment addition","Tot. richness",0.442195872982375,0.480056814819398,8,8,"davis"
"68","Fine sediment addition","% EPT",-0.191642714315154,0.474112592587258,8,8,"davis"
"69","Fine sediment addition","EPT (abundance)",-0.950875368774556,0.505729813861215,8,8,"davis"
"70","Fine sediment addition","EPT (number taxa)",0.442195872982375,0.480056814819398,8,8,"davis"
"71","Fine sediment addition","% Gill breather",-0.0642190138613008,0.472883033121071,8,8,"davis"
"72","Fine sediment addition","Tagument (rel. abundance)",0.0968178116349729,0.473081228728007,8,8,"davis"
"73","Fine sediment addition","Gils/Tegument (ratio)",-0.0665478510245756,0.472894532908034,8,8,"davis"
"74","Fine sediment addition","% Scraper",-0.131695320432442,0.47338197126288,8,8,"davis"
"75","Fine sediment addition","% Lotic",-0.762623491734557,0.494208771413966,8,8,"davis"
"76","Fine sediment addition","Slow flow adapt. (rel. abundance)",0.762623491734557,0.494208771413966,8,8,"davis"
"77","Fine sediment addition","Fast/Slow flow (adapt., ratio)",-0.753656679275293,0.49371725833072,8,8,"davis"
"78","Fine sediment addition","Non EPT fast flow (adapt., rel. abd.)",-2.12312861015833,0.620047958338636,8,8,"davis"
"79","Fine sediment addition
& N/P addition","Tot. abundance",-1.21887844980471,0.525861699568397,8,8,"elbrecht"
"80","Fine sediment addition
& N/P addition","Tot. richness",-0.49329014776359,0.481831522590227,8,8,"elbrecht"
"81","Fine sediment addition
& N/P addition","% EPT",-0.992311668928691,0.508564946369989,8,8,"elbrecht"
"82","Fine sediment addition
& N/P addition","EPT (abundance)",-1.59418417775136,0.560567737567313,8,8,"elbrecht"
"83","Fine sediment addition
& N/P addition","EPT (number taxa)",-0.340402541734554,0.477084298221423,8,8,"elbrecht"
"84","Fine sediment addition
& N/P addition","% Gill breather",-0.230145390390994,0.4747238664801,8,8,"elbrecht"
"85","Fine sediment addition
& N/P addition","Tagument (rel. abundance)",0.261727858872388,0.475307853424439,8,8,"elbrecht"
"86","Fine sediment addition
& N/P addition","Gils/Tegument (ratio)",-0.248283016614225,0.475050167989193,8,8,"elbrecht"
"87","Fine sediment addition
& N/P addition","% Scraper",-0.0277246195050983,0.472756307549193,8,8,"elbrecht"
"88","Fine sediment addition
& N/P addition","% Lotic",-1.25841025509103,0.529176801833447,8,8,"elbrecht"
"89","Fine sediment addition
& N/P addition","Slow flow adapt. (rel. abundance)",1.25841025509104,0.529176801833448,8,8,"elbrecht"
"90","Fine sediment addition
& N/P addition","Fast/Slow flow (adapt., ratio)",-1.26024041859728,0.529332328616197,8,8,"elbrecht"
"91","Fine sediment addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",-0.883878192948319,0.501370647846417,8,8,"elbrecht"
"92","Flow reduction
& Fine sediment addition","Tot. abundance",-1.31964570722733,0.534477544471774,8,8,"elbrecht"
"93","Flow reduction
& Fine sediment addition","Tot. richness",-0.592232517182509,0.485795718275438,8,8,"elbrecht"
"94","Flow reduction
& Fine sediment addition","% EPT",-1.72438828338804,0.574167255203151,8,8,"elbrecht"
"95","Flow reduction
& Fine sediment addition","EPT (abundance)",-2.24704688015462,0.635452869002473,8,8,"elbrecht"
"96","Flow reduction
& Fine sediment addition","EPT (number taxa)",-0.747226928446687,0.493368095168321,8,8,"elbrecht"
"97","Flow reduction
& Fine sediment addition","% Gill breather",1.1704224794855,0.52191538939104,8,8,"elbrecht"
"98","Flow reduction
& Fine sediment addition","Tagument (rel. abundance)",-1.12789257482422,0.51856022322072,8,8,"elbrecht"
"99","Flow reduction
& Fine sediment addition","Gils/Tegument (ratio)",1.1695039109391,0.521841843868786,8,8,"elbrecht"
"100","Flow reduction
& Fine sediment addition","% Scraper",-0.802931237254467,0.496483658715529,8,8,"elbrecht"
"101","Flow reduction
& Fine sediment addition","% Lotic",-1.91525139238068,0.595380369975506,8,8,"elbrecht"
"102","Flow reduction
& Fine sediment addition","Slow flow adapt. (rel. abundance)",1.91525139238068,0.595380369975506,8,8,"elbrecht"
"103","Flow reduction
& Fine sediment addition","Fast/Slow flow (adapt., ratio)",-1.9241740077079,0.596406970789701,8,8,"elbrecht"
"104","Flow reduction
& Fine sediment addition","Non EPT fast flow (adapt., rel. abd.)",-1.44671618171072,0.546095811618002,8,8,"elbrecht"
"105","Flow reduction","Tot. abundance",-0.205417775945658,0.488768165915075,7,8,"elbrecht"
"106","Flow reduction","Tot. richness",0.388517897568573,0.493028397308538,7,8,"elbrecht"
"107","Flow reduction","% EPT",-0.406747556179595,0.49359355095273,7,8,"elbrecht"
"108","Flow reduction","EPT (abundance)",-0.521700661142581,0.49773438380919,7,8,"elbrecht"
"109","Flow reduction","EPT (number taxa)",-0.0659896026978072,0.487276989831537,7,8,"elbrecht"
"110","Flow reduction","% Gill breather",0.990673546044975,0.524422390403535,7,8,"elbrecht"
"111","Flow reduction","Tagument (rel. abundance)",-0.850942528645095,0.514899506427228,7,8,"elbrecht"
"112","Flow reduction","Gils/Tegument (ratio)",0.936838622102951,0.520603291365705,7,8,"elbrecht"
"113","Flow reduction","% Scraper",-0.904668853634791,0.518410350990783,7,8,"elbrecht"
"114","Flow reduction","% Lotic",-1.19919268958119,0.540908031582155,7,8,"elbrecht"
"115","Flow reduction","Slow flow adapt. (rel. abundance)",1.1991926895812,0.540908031582157,7,8,"elbrecht"
"116","Flow reduction","Fast/Slow flow (adapt., ratio)",-1.20286081393829,0.54122119732727,7,8,"elbrecht"
"117","Flow reduction","Non EPT fast flow (adapt., rel. abd.)",-0.957640736787827,0.522057012742445,7,8,"elbrecht"
"118","N/P addition","Tot. abundance",-0.0327281060487802,0.472767732596725,8,8,"elbrecht"
"119","N/P addition","Tot. richness",0,0.472727272727273,8,8,"elbrecht"
"120","N/P addition","% EPT",-0.619441162217784,0.48700606611411,8,8,"elbrecht"
"121","N/P addition","EPT (abundance)",-0.716855880174793,0.491756052892728,8,8,"elbrecht"
"122","N/P addition","EPT (number taxa)",-0.148433013329016,0.473558807710697,8,8,"elbrecht"
"123","N/P addition","% Gill breather",-0.0979946323161508,0.473089882376919,8,8,"elbrecht"
"124","N/P addition","Tagument (rel. abundance)",0.251010953178246,0.47510136441982,8,8,"elbrecht"
"125","N/P addition","Gils/Tegument (ratio)",-0.143498566612034,0.473504484865785,8,8,"elbrecht"
"126","N/P addition","% Scraper",0.128946329120134,0.473354942271434,8,8,"elbrecht"
"127","N/P addition","% Lotic",-1.14383692765954,0.519806042114414,8,8,"elbrecht"
"128","N/P addition","Slow flow adapt. (rel. abundance)",1.14383692765957,0.519806042114416,8,8,"elbrecht"
"129","N/P addition","Fast/Slow flow (adapt., ratio)",-1.14511941638139,0.519906879039008,8,8,"elbrecht"
"130","N/P addition","Non EPT fast flow (adapt., rel. abd.)",-0.692038161761001,0.490484705600279,8,8,"elbrecht"
"131","Flow reduction
& N/P addition","Tot. abundance",-0.875533605357289,0.50084746668431,8,8,"elbrecht"
"132","Flow reduction
& N/P addition","Tot. richness",-1.18417006112315,0.523021742798008,8,8,"elbrecht"
"133","Flow reduction
& N/P addition","% EPT",-1.03500720435525,0.511595194176017,8,8,"elbrecht"
"134","Flow reduction
& N/P addition","EPT (abundance)",-1.43522788469836,0.545012095660675,8,8,"elbrecht"
"135","Flow reduction
& N/P addition","EPT (number taxa)",-0.742165066645079,0.493095146888977,8,8,"elbrecht"
"136","Flow reduction
& N/P addition","% Gill breather",0.159555651088412,0.473687965725135,8,8,"elbrecht"
"137","Flow reduction
& N/P addition","Tagument (rel. abundance)",-0.152818240957478,0.473608619967629,8,8,"elbrecht"
"138","Flow reduction
& N/P addition","Gils/Tegument (ratio)",0.159757415778141,0.473690394461431,8,8,"elbrecht"
"139","Flow reduction
& N/P addition","% Scraper",-0.143381738951074,0.473503220901297,8,8,"elbrecht"
"140","Flow reduction
& N/P addition","% Lotic",-1.95655715004357,0.600157894820523,8,8,"elbrecht"
"141","Flow reduction
& N/P addition","Slow flow adapt. (rel. abundance)",1.95655715004357,0.600157894820523,8,8,"elbrecht"
"142","Flow reduction
& N/P addition","Fast/Slow flow (adapt., ratio)",-1.959966246421,0.6005550340475,8,8,"elbrecht"
"143","Flow reduction
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",-1.43479548294379,0.544971433082261,8,8,"elbrecht"
"144","Fine sediment addition","Tot. abundance",-1.31159239434128,0.533769101081388,8,8,"elbrecht"
"145","Fine sediment addition","Tot. richness",-0.472727272727273,0.481094776711883,8,8,"elbrecht"
"146","Fine sediment addition","% EPT",-0.120421424690401,0.473274739077522,8,8,"elbrecht"
"147","Fine sediment addition","EPT (abundance)",-1.02941022785966,0.511191727376428,8,8,"elbrecht"
"148","Fine sediment addition","EPT (number taxa)",-0.0861030331951687,0.473007241524529,8,8,"elbrecht"
"149","Fine sediment addition","% Gill breather",0.304843028289078,0.476224712659786,8,8,"elbrecht"
"150","Fine sediment addition","Tagument (rel. abundance)",-0.301299276014597,0.476144160956815,8,8,"elbrecht"
"151","Fine sediment addition","Gils/Tegument (ratio)",0.31319863727534,0.476418313678662,8,8,"elbrecht"
"152","Fine sediment addition","% Scraper",-0.132774052837074,0.473392733050907,8,8,"elbrecht"
"153","Fine sediment addition","% Lotic",-0.831650956519425,0.498169269716784,8,8,"elbrecht"
"154","Fine sediment addition","Slow flow adapt. (rel. abundance)",0.831650956519451,0.498169269716785,8,8,"elbrecht"
"155","Fine sediment addition","Fast/Slow flow (adapt., ratio)",-0.83531425791931,0.498388115834004,8,8,"elbrecht"
"156","Fine sediment addition","Non EPT fast flow (adapt., rel. abd.)",-0.78301369740014,0.495346218494876,8,8,"elbrecht"
"157","Flow reduction
× Fine sediment addition
& N/P addition","Tot. abundance",-1.46226949296681,0.547573287746752,8,8,"elbrecht"
"158","Flow reduction
× Fine sediment addition
& N/P addition","Tot. richness",-1.01819964333773,0.510389228094518,8,8,"elbrecht"
"159","Flow reduction
× Fine sediment addition
& N/P addition","% EPT",-1.5991264757602,0.561070264511174,8,8,"elbrecht"
"160","Flow reduction
× Fine sediment addition
& N/P addition","EPT (abundance)",-2.57798446800205,0.678843396623584,8,8,"elbrecht"
"161","Flow reduction
× Fine sediment addition
& N/P addition","EPT (number taxa)",-1.13292814017434,0.51895211220867,8,8,"elbrecht"
"162","Flow reduction
× Fine sediment addition
& N/P addition","% Gill breather",0.170417572218369,0.473823061895978,8,8,"elbrecht"
"163","Flow reduction
× Fine sediment addition
& N/P addition","Tagument (rel. abundance)",-0.0890499495044278,0.47302672742938,8,8,"elbrecht"
"164","Flow reduction
× Fine sediment addition
& N/P addition","Gils/Tegument (ratio)",0.154899726217544,0.47363276943169,8,8,"elbrecht"
"165","Flow reduction
× Fine sediment addition
& N/P addition","% Scraper",-0.363608735623155,0.477695412343252,8,8,"elbrecht"
"166","Flow reduction
× Fine sediment addition
& N/P addition","% Lotic",-2.24618073274926,0.635343494464064,8,8,"elbrecht"
"167","Flow reduction
× Fine sediment addition
& N/P addition","Slow flow adapt. (rel. abundance)",2.24618073274927,0.635343494464066,8,8,"elbrecht"
"168","Flow reduction
× Fine sediment addition
& N/P addition","Fast/Slow flow (adapt., ratio)",-2.24894244386465,0.635692316591596,8,8,"elbrecht"
"169","Flow reduction
× Fine sediment addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",-1.43204120731754,0.544712640563159,8,8,"elbrecht"
"170","Fine sediment addition","Tot. abundance",-0.199638186193134,0.474230409943729,8,8,"hunn"
"171","Fine sediment addition","Tot. richness",-0.678790633603225,0.489823102431308,8,8,"hunn"
"172","Fine sediment addition","% EPT",-0.586896233098546,0.485564372334985,8,8,"hunn"
"173","Fine sediment addition","EPT (abundance)",-0.820992695193446,0.497537474834295,8,8,"hunn"
"174","Fine sediment addition","EPT (number taxa)",-0.629747941661402,0.487477931832794,8,8,"hunn"
"175","Fine sediment addition","% Gill breather",0.350512014498136,0.477345665221163,8,8,"hunn"
"176","Fine sediment addition","Tagument (rel. abundance)",-0.530485574940919,0.483240735180755,8,8,"hunn"
"177","Fine sediment addition","Gils/Tegument (ratio)",0.387239588034819,0.47835822579445,8,8,"hunn"
"178","Fine sediment addition","% Scraper",-1.14642457678055,0.520009594447582,8,8,"hunn"
"179","Fine sediment addition","% Lotic",-3.10239275984907,0.753137032660452,8,8,"hunn"
"180","Fine sediment addition","Slow flow adapt. (rel. abundance)",3.10239275984907,0.753137032660452,8,8,"hunn"
"181","Fine sediment addition","Fast/Slow flow (adapt., ratio)",-3.43050804281178,0.802353135525234,8,8,"hunn"
"182","Fine sediment addition","Non EPT fast flow (adapt., rel. abd.)",-3.04888843873284,0.74529262696137,8,8,"hunn"
"183","Fine sediment addition","Tot. abundance",1.87298461443339,0.6778106202578,6,6,"magbanua"
"184","Fine sediment addition","Tot. richness",-0.363292249657587,0.539094362400607,6,6,"magbanua"
"185","Fine sediment addition","% EPT",-4.9032943050694,1.21907277089817,6,6,"magbanua"
"186","Fine sediment addition","EPT (abundance)",-3.19471627818783,0.891254325961433,6,6,"magbanua"
"187","Fine sediment addition","EPT (number taxa)",0,0.532938710021193,6,6,"magbanua"
"188","Fine sediment addition","% Gill breather",-4.29512298293871,1.0983750454956,6,6,"magbanua"
"189","Fine sediment addition","Tagument (rel. abundance)",4.26445516888314,1.09238388994426,6,6,"magbanua"
"190","Fine sediment addition","Gils/Tegument (ratio)",-3.09961645355541,0.874302451441504,6,6,"magbanua"
"191","Fine sediment addition","% Scraper",-4.93053007607098,1.22455298382352,6,6,"magbanua"
"192","Fine sediment addition","% Lotic",-5.31732520610009,1.30296624515389,6,6,"magbanua"
"193","Fine sediment addition","Slow flow adapt. (rel. abundance)",5.31732520610009,1.30296624515389,6,6,"magbanua"
"194","Fine sediment addition","Fast/Slow flow (adapt., ratio)",-3.12925147166673,0.879564896574138,6,6,"magbanua"
"195","Fine sediment addition","Non EPT fast flow (adapt., rel. abd.)",-2.47565139575285,0.768417959383893,6,6,"magbanua"
"196","Fine sediment addition
& N/P addition","Tot. abundance",0.795917624129884,0.656400974264288,4,4,"piggott"
"197","Fine sediment addition
& N/P addition","Tot. richness",0.532497770170256,0.633799119004924,4,4,"piggott"
"198","Fine sediment addition
& N/P addition","% EPT",-8.98165296597936,2.66469122671944,4,4,"piggott"
"199","Fine sediment addition
& N/P addition","EPT (abundance)",-6.72237809935223,2.0356659294203,4,4,"piggott"
"200","Fine sediment addition
& N/P addition","EPT (number taxa)",0,0.614875461901346,4,4,"piggott"
"201","Fine sediment addition
& N/P addition","% Gill breather",-0.98345433247472,0.677252071969515,4,4,"piggott"
"202","Fine sediment addition
& N/P addition","Tagument (rel. abundance)",1.01774942338633,0.681461413225523,4,4,"piggott"
"203","Fine sediment addition
& N/P addition","Gils/Tegument (ratio)",-0.766491802732436,0.653476069916153,4,4,"piggott"
"204","Fine sediment addition
& N/P addition","% Scraper",-1.48236595747267,0.749125647875274,4,4,"piggott"
"205","Fine sediment addition
& N/P addition","% Lotic",-1.81810524172816,0.808412470719627,4,4,"piggott"
"206","Fine sediment addition
& N/P addition","Slow flow adapt. (rel. abundance)",1.81810524172816,0.808412470719627,4,4,"piggott"
"207","Fine sediment addition
& N/P addition","Fast/Slow flow (adapt., ratio)",-1.88784080112687,0.821624655493616,4,4,"piggott"
"208","Fine sediment addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",-1.77208217870612,0.7998508846377,4,4,"piggott"
"209","N/P addition","Tot. abundance",1.41780942677619,0.738638701398059,4,4,"piggott"
"210","N/P addition","Tot. richness",0.732980200368282,0.650264175669694,4,4,"piggott"
"211","N/P addition","% EPT",-1.3940866543421,0.734866178497571,4,4,"piggott"
"212","N/P addition","EPT (abundance)",-0.289590364579817,0.620532337529519,4,4,"piggott"
"213","N/P addition","EPT (number taxa)",0.614875461901346,0.639982671473032,4,4,"piggott"
"214","N/P addition","% Gill breather",-0.73711017741175,0.650653096090427,4,4,"piggott"
"215","N/P addition","Tagument (rel. abundance)",0.685577447174454,0.645941073154443,4,4,"piggott"
"216","N/P addition","Gils/Tegument (ratio)",-0.650840073803475,0.642939525762288,4,4,"piggott"
"217","N/P addition","% Scraper",-0.910149225007163,0.668657461856833,4,4,"piggott"
"218","N/P addition","% Lotic",-0.73807344367444,0.650744087694884,4,4,"piggott"
"219","N/P addition","Slow flow adapt. (rel. abundance)",0.738073443674439,0.650744087694884,4,4,"piggott"
"220","N/P addition","Fast/Slow flow (adapt., ratio)",-0.608490008420622,0.639473878416758,4,4,"piggott"
"221","N/P addition","Non EPT fast flow (adapt., rel. abd.)",-0.861031370457077,0.663214207772265,4,4,"piggott"
"222","Fine sediment addition","Tot. abundance",0.882717510425139,0.665585719935949,4,4,"piggott"
"223","Fine sediment addition","Tot. richness",0.204958487300449,0.617715548432098,4,4,"piggott"
"224","Fine sediment addition","% EPT",-7.34709319966128,2.20825422163244,4,4,"piggott"
"225","Fine sediment addition","EPT (abundance)",-5.25778461416438,1.63760905623423,4,4,"piggott"
"226","Fine sediment addition","EPT (number taxa)",-0.869565217391304,0.664141405066064,4,4,"piggott"
"227","Fine sediment addition","% Gill breather",-2.02658047007452,0.848719152874308,4,4,"piggott"
"228","Fine sediment addition","Tagument (rel. abundance)",1.91365725401176,0.826586660591442,4,4,"piggott"
"229","Fine sediment addition","Gils/Tegument (ratio)",-1.8739574685153,0.818971845140041,4,4,"piggott"
"230","Fine sediment addition","% Scraper",-2.42397206420765,0.931508748028337,4,4,"piggott"
"231","Fine sediment addition","% Lotic",-3.69701188724302,1.23169121191815,4,4,"piggott"
"232","Fine sediment addition","Slow flow adapt. (rel. abundance)",3.69701188724302,1.23169121191815,4,4,"piggott"
"233","Fine sediment addition","Fast/Slow flow (adapt., ratio)",-3.45537959155348,1.17176896633199,4,4,"piggott"
"234","Fine sediment addition","Non EPT fast flow (adapt., rel. abd.)",-1.07347728862164,0.688550136940368,4,4,"piggott"
"235","N/P addition","Tot. abundance",0.349728253094757,0.623108595056099,4,4,"wagenhoff"
"236","N/P addition","Tot. richness",0.584492236888984,0.637605754546138,4,4,"wagenhoff"
"237","N/P addition","% EPT",-0.268493077161908,0.619741245485067,4,4,"wagenhoff"
"238","N/P addition","EPT (abundance)",0.0844465273900883,0.61535851472732,4,4,"wagenhoff"
"239","N/P addition","EPT (number taxa)",0.691060360207849,0.64642777536959,4,4,"wagenhoff"
"240","N/P addition","% Gill breather",-0.403092183518006,0.625789189223897,4,4,"wagenhoff"
"241","N/P addition","Tagument (rel. abundance)",0.373525836655879,0.624258463727845,4,4,"wagenhoff"
"242","N/P addition","Gils/Tegument (ratio)",-0.49906560341532,0.631527808855439,4,4,"wagenhoff"
"243","N/P addition","% Scraper",-0.446775447945917,0.628256204682718,4,4,"wagenhoff"
"244","N/P addition","% Lotic",-0.814804424442035,0.658329214367138,4,4,"wagenhoff"
"245","N/P addition","Slow flow adapt. (rel. abundance)",0.814804424442036,0.658329214367138,4,4,"wagenhoff"
"246","N/P addition","Fast/Slow flow (adapt., ratio)",-0.913089521214463,0.668991434769059,4,4,"wagenhoff"
"247","N/P addition","Non EPT fast flow (adapt., rel. abd.)",-0.823570213633098,0.659237558381169,4,4,"wagenhoff"
"248","Fine sediment addition
& N/P addition","Tot. abundance",-1.57846132335051,0.765310511769251,4,4,"wagenhoff"
"249","Fine sediment addition
& N/P addition","Tot. richness",-2.65838955842644,0.983357219263489,4,4,"wagenhoff"
"250","Fine sediment addition
& N/P addition","% EPT",-1.61924076411166,0.772377425871016,4,4,"wagenhoff"
"251","Fine sediment addition
& N/P addition","EPT (abundance)",-3.24694102961066,1.12099241944916,4,4,"wagenhoff"
"252","Fine sediment addition
& N/P addition","EPT (number taxa)",-1.5348219271684,0.757877538035094,4,4,"wagenhoff"
"253","Fine sediment addition
& N/P addition","% Gill breather",-1.39042547729253,0.734287921032166,4,4,"wagenhoff"
"254","Fine sediment addition
& N/P addition","Tagument (rel. abundance)",1.22875802320303,0.709853757436848,4,4,"wagenhoff"
"255","Fine sediment addition
& N/P addition","Gils/Tegument (ratio)",-1.22854226908443,0.709822636925817,4,4,"wagenhoff"
"256","Fine sediment addition
& N/P addition","% Scraper",-2.41362103621031,0.929266220834915,4,4,"wagenhoff"
"257","Fine sediment addition
& N/P addition","% Lotic",-2.92911365435334,1.04548907231257,4,4,"wagenhoff"
"258","Fine sediment addition
& N/P addition","Slow flow adapt. (rel. abundance)",2.92911365435334,1.04548907231257,4,4,"wagenhoff"
"259","Fine sediment addition
& N/P addition","Fast/Slow flow (adapt., ratio)",-2.92048733185523,1.04347609217571,4,4,"wagenhoff"
"260","Fine sediment addition
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",-2.71129865840585,0.995322494590493,4,4,"wagenhoff"
"261","Fine sediment addition","Tot. abundance",-1.14138609328825,0.697592539723377,4,4,"wagenhoff"
"262","Fine sediment addition","Tot. richness",-1.43120904745878,0.740789069242418,4,4,"wagenhoff"
